Date,active_addresses
2015-12-01,387068.625
2016-01-01,382680.625
2016-02-01,431287.0
2016-03-01,381738.25
2016-04-01,385227.85714285716
2016-05-01,383580.875
2016-06-01,421250.125
2016-07-01,365532.28571428574
2016-08-01,386850.75
2016-09-01,402219.75
2016-10-01,438064.0
2016-11-01,482996.375
2016-12-01,499069.0
2017-01-01,476039.5714285714
2017-02-01,506529.4285714286
2017-03-01,522764.75
2017-04-01,539391.75
2017-05-01,615103.5714285715
2017-06-01,555796.0
2017-07-01,468704.375
2017-08-01,549326.5714285715
2017-09-01,527351.375
2017-10-01,609025.875
2017-11-01,676413.4285714285
2017-12-01,839846.125
2018-01-01,696700.875
2018-02-01,446412.5714285714
2018-03-01,423815.85714285716
2018-04-01,430125.625
2018-05-01,441394.375
2018-06-01,415031.28571428574
2018-07-01,429247.875
2018-08-01,457906.125
2018-09-01,465822.71428571426
2018-10-01,468178.375
2018-11-01,484126.85714285716
2018-12-01,440015.125
2019-01-01,427051.0
2019-02-01,476799.71428571426
2019-03-01,508879.75
2019-04-01,553896.7142857143
2019-05-01,602359.25
2019-06-01,648524.8571428572
2019-07-01,540942.75
2019-08-01,531373.125
2019-09-01,539702.1428571428
2019-10-01,513948.75
2019-11-01,533734.75
2019-12-01,501278.0
2020-01-01,505631.375
2020-02-01,546907.5714285715
2020-03-01,524405.5
2020-04-01,573856.8571428572
2020-05-01,608353.875
2020-06-01,619944.1428571428
2020-07-01,655320.75
2020-08-01,682373.5
2020-09-01,665235.7142857143
2020-10-01,654497.5
2020-11-01,675613.7142857143
2020-12-01,686494.375
2021-01-01,748625.5
2021-02-01,802865.5714285715
2021-03-01,792638.375
2021-04-01,769838.4285714285
2021-05-01,692629.375
2021-06-01,577723.8571428572
2021-07-01,550454.875
2021-08-01,578192.0
2021-09-01,618655.8571428572
2021-10-01,676554.0
2021-11-01,705226.25
2021-12-01,678185.0
2022-01-01,657231.125
2022-02-01,654774.1428571428
2022-03-01,680172.0
2022-04-01,649158.7142857143
2022-05-01,641998.25
2022-06-01,639505.75
2022-07-01,627268.4285714285
2022-08-01,635584.125
2022-09-01,653993.625
2022-10-01,631784.8571428572
2022-11-01,661718.0
2022-12-01,639508.875
2023-01-01,649903.1428571428
2023-02-01,681766.5714285715
2023-03-01,683748.75
2023-04-01,680261.75
2023-05-01,622999.2857142857
2023-06-01,677543.625
2023-07-01,694029.25
2023-08-01,685554.8571428572
2023-09-01,747095.5
2023-10-01,670357.0
2023-11-01,789977.0
2023-12-01,677618.75
2024-01-01,626977.5
2024-02-01,636043.2857142857
2024-03-01,651501.375
2024-04-01,643941.8571428572
2024-05-01,491681.0
2024-06-01,462270.28571428574
2024-07-01,478620.625
2024-08-01,509035.875
2024-09-01,498822.5714285714
2024-10-01,497645.875
2024-11-01,571710.375
2024-12-01,575197.5714285715
2025-01-01,541238.75
2025-02-01,532099.5714285715
2025-03-01,523712.625
2025-04-01,527388.7142857143
2025-05-01,531309.875
2025-06-01,502789.25
2025-07-01,531682.1428571428
2025-08-01,552775.25
2025-09-01,529154.125
2025-10-01,534400.5714285715
