Date,hash_rate
2015-12-01,649304.6947241224
2016-01-01,837688.2896997257
2016-02-01,1117380.5936101365
2016-03-01,1178517.009828048
2016-04-01,1279960.0912994698
2016-05-01,1389516.7588207577
2016-06-01,1474838.1189739136
2016-07-01,1502439.0632393265
2016-08-01,1555212.3327741153
2016-09-01,1699736.0494910644
2016-10-01,1823986.6664533576
2016-11-01,1977062.9932642956
2016-12-01,2214534.3945521573
2017-01-01,2667040.442115227
2017-02-01,3111051.276544098
2017-03-01,3479805.7434281083
2017-04-01,3732426.3748469152
2017-05-01,4209540.206749793
2017-06-01,5055712.964259328
2017-07-01,5920680.673509499
2017-08-01,6356888.385919136
2017-09-01,7579966.508149497
2017-10-01,9169980.725295208
2017-11-01,9682815.395213202
2017-12-01,12881920.789215412
2018-01-01,17371401.009950723
2018-02-01,21892022.113420907
2018-03-01,24694699.75825995
2018-04-01,27733741.489878114
2018-05-01,30906613.720272604
2018-06-01,36986653.81690717
2018-07-01,38773308.86949391
2018-08-01,47668522.29213913
2018-09-01,50568828.55121326
2018-10-01,51683644.46305757
2018-11-01,46617742.32548889
2018-12-01,37921687.24548074
2019-01-01,41778870.96697098
2019-02-01,43520621.059498474
2019-03-01,44691867.89630013
2019-04-01,45352496.8890874
2019-05-01,49828895.91097402
2019-06-01,54309285.24370784
2019-07-01,65157648.03909443
2019-08-01,73677789.23246227
2019-09-01,87286982.98854344
2019-10-01,95115795.80928788
2019-11-01,91432289.33838043
2019-12-01,94549887.77522719
2020-01-01,106370837.20825002
2020-02-01,110845462.20643184
2020-03-01,107765057.51899737
2020-04-01,110635340.36673942
2020-05-01,107026390.50990832
2020-06-01,109848157.91004519
2020-07-01,121560171.55879253
2020-08-01,123109309.39817
2020-09-01,132268688.4249273
2020-10-01,135134913.93490312
2020-11-01,127149521.13844289
2020-12-01,134232270.1415918
2021-01-01,148541762.44649282
2021-02-01,154367117.8471434
2021-03-01,158150462.5607789
2021-04-01,159353218.5603243
2021-05-01,161979801.74469364
2021-06-01,127633578.3284912
2021-07-01,96541518.55547908
2021-08-01,118467838.03470531
2021-09-01,135039850.25387356
2021-10-01,147262420.18833032
2021-11-01,160543837.17477635
2021-12-01,170738161.65916505
2022-01-01,185084089.2549857
2022-02-01,197135018.09564558
2022-03-01,200693524.25061288
2022-04-01,206394318.77719635
2022-05-01,219101176.48506737
2022-06-01,211751280.23532194
2022-07-01,204846170.24278373
2022-08-01,207824226.06187135
2022-09-01,225964723.84561157
2022-10-01,255903880.59547034
2022-11-01,261099541.93907252
2022-12-01,247467709.59898648
2023-01-01,269299460.2756745
2023-02-01,292505455.132252
2023-03-01,327084269.9895197
2023-04-01,343114849.5049612
2023-05-01,353469197.66356486
2023-06-01,369925475.482734
2023-07-01,375040446.1633829
2023-08-01,385347927.8957576
2023-09-01,402385010.2769436
2023-10-01,441067497.7749278
2023-11-01,472297711.6749992
2023-12-01,500864237.6892795
2024-01-01,516687805.3313533
2024-02-01,568683100.2356074
2024-03-01,595367371.5373619
2024-04-01,622968559.4694608
2024-05-01,601490581.0224962
2024-06-01,578651298.7593255
2024-07-01,602869203.8429475
2024-08-01,628967827.5673726
2024-09-01,642963190.1765382
2024-10-01,687757674.6335356
2024-11-01,736529265.3257005
2024-12-01,762048838.5798575
2025-01-01,782510216.1757315
2025-02-01,804221212.9184153
2025-03-01,817398658.5513037
2025-04-01,866780164.1344836
2025-05-01,881378315.446428
2025-06-01,883215230.5323436
2025-07-01,903516366.2147725
2025-08-01,939057209.0590568
2025-09-01,1016420204.1386473
2025-10-01,1079657474.8901777
